"Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
1472,14208,1022,4748,5152,985,5868,1960,567
1420,15286,1015,5129,5104,1171,6654,1734,703
1216,16601,1020,4676,5722,982,6495,1551,696
1216,15054,1057,4250,5107,789,7352,1642,731
1175,14724,943,3787,5405,1180,6621,1805,602
1143,14169,1019,3861,4895,1047,7441,1517,643
1387,16014,1055,4765,5202,872,8393,1738,642
1033,15230,1063,5018,5020,864,6913,1830,490
1304,12740,1098,4864,4821,1006,7566,1694,615
1239,11986,1066,4250,4888,740,8196,1820,673
1511,13342,1064,5146,4842,1066,6801,1841,759
1544,15446,1062,4984,4902,960,6550,1791,797
1299,17002,1057,4828,4734,994,8989,1794,817
1164,14918,1035,4033,5216,797,7235,1426,621
1606,15465,946,4062,4208,1125,7562,1536,666
1148,14378,1045,4239,5235,819,5583,1564,844
1329,15714,983,4708,5317,975,6598,1763,679
1511,14526,1089,4164,5143,1166,7514,1780,544
1258,13513,921,4550,4914,830,7403,1790,571
1187,13593,1131,5486,4314,784,7665,2024,586
1378,15714,1115,5273,4989,1049,6745,1725,781
1143,15585,1107,4813,5266,1122,6821,1734,628
1298,16924,952,3986,5519,1014,7263,1676,940
1039,15700,1036,3759,4465,1009,6206,1714,673
1192,16672,1035,5228,4992,893,7945,1748,736
842,16132,983,5523,5154,954,7337,1768,806
1478,18109,982,5201,4796,820,7145,1651,722
1421,15588,953,4430,5040,919,7476,1711,732
